rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v4,+0.022,0,40,104,0.476,0.003,5.4,1.00,65,16,0,0.0,,6.358,SURVIVED
v4,+0.022,1,40,91,0.476,0.003,5.4,1.00,65,13,0,0.0,,6.358,SURVIVED
v4,-0.022,0,40,91,0.476,0.003,5.4,1.00,63,5,0,0.0,,6.358,SURVIVED
v4,-0.022,1,40,104,0.476,0.003,5.4,1.00,63,7,0,0.0,,6.358,SURVIVED
v4,+0.026,1,40,92,0.476,0.009,6.3,1.00,64,22,0,0.0,,6.358,SURVIVED
v4,+0.026,0,40,103,0.476,0.004,6.3,1.00,69,14,0,0.0,,6.358,SURVIVED
v4,-0.026,0,40,92,0.476,0.009,6.3,1.00,64,10,0,0.0,,6.358,SURVIVED
v4,-0.026,1,40,103,0.476,0.004,6.3,1.00,63,6,0,0.0,,6.358,SURVIVED
v4,+0.030,0,40,102,0.476,0.011,12.7,1.00,65,19,0,0.0,,6.358,SURVIVED
v4,+0.030,1,40,93,0.476,0.011,12.7,1.00,63,18,0,0.0,,6.358,SURVIVED
v4,-0.030,0,40,93,0.476,0.012,12.6,1.00,64,10,0,0.0,,6.358,SURVIVED
v4,-0.030,1,40,102,0.476,0.011,12.7,1.00,63,11,0,0.0,,6.358,SURVIVED
v4,-0.045,0,7,254,0.443,0.540,40.5,1.00,139,12,0,0.0,5.570,6.358,FELL
v4,+0.045,1,8,-89,0.425,0.539,226.5,1.01,176,26,7,261.9,6.195,6.358,FELL
v4,+0.055,1,8,523,0.435,0.533,262.7,1.01,193,16,1,78.0,6.195,6.358,FELL
v4,+0.055,0,9,311,0.420,0.565,184.9,1.01,199,12,15,292.4,6.780,6.358,FELL
v4,-0.055,0,7,238,0.433,0.541,69.0,1.00,197,28,0,0.0,5.700,6.358,FELL
v4,+0.036,0,40,101,0.476,0.011,13.0,1.00,65,27,0,0.0,,6.358,SURVIVED
v4,+0.036,1,40,94,0.476,0.021,9.4,1.00,81,19,0,0.0,,6.358,SURVIVED
v4,-0.036,0,40,94,0.476,0.012,12.1,1.00,63,23,0,0.0,,6.358,SURVIVED
v4,-0.055,1,9,341,0.421,0.546,256.7,1.01,171,18,6,40.5,6.650,6.358,FELL
v4,-0.036,1,40,101,0.476,0.011,9.3,1.00,62,18,0,0.0,,6.358,SURVIVED
v4,+0.045,0,40,101,0.476,0.012,26.9,1.00,110,18,0,0.0,,6.358,SURVIVED
v4,-0.045,1,40,101,0.476,0.016,24.3,1.01,116,16,0,0.0,,6.358,SURVIVED
v5only,+0.018,0,40,106,0.475,0.002,5.7,1.00,63,5,0,0.0,,5.834,SURVIVED
v5only,+0.018,1,40,90,0.475,0.002,5.7,1.00,65,7,0,0.0,,5.834,SURVIVED
v5only,-0.018,0,40,90,0.475,0.002,5.7,1.00,64,8,0,0.0,,5.834,SURVIVED
v5only,-0.018,1,40,106,0.475,0.002,5.7,1.00,65,4,0,0.0,,5.834,SURVIVED
v5only,+0.022,0,40,104,0.475,0.010,6.9,1.00,66,19,0,0.0,,5.834,SURVIVED
v5only,+0.022,1,40,91,0.475,0.010,6.9,1.00,64,13,0,0.0,,5.834,SURVIVED
v5only,-0.022,0,40,91,0.475,0.009,6.9,1.00,65,9,0,0.0,,5.834,SURVIVED
v5only,-0.022,1,40,104,0.475,0.010,6.9,1.00,67,3,0,0.0,,5.834,SURVIVED
v5only,+0.026,0,40,103,0.475,0.007,7.8,1.00,68,7,0,0.0,,5.834,SURVIVED
v5only,+0.026,1,40,92,0.475,0.013,13.0,1.00,64,3,0,0.0,,5.834,SURVIVED
v5only,-0.026,1,40,103,0.475,0.013,13.0,1.00,64,5,0,0.0,,5.834,SURVIVED
v5only,-0.026,0,40,92,0.475,0.013,12.9,1.01,66,6,0,0.0,,5.834,SURVIVED
v5only,+0.030,0,40,102,0.475,0.007,8.6,1.00,66,11,0,0.0,,5.834,SURVIVED
v5only,+0.030,1,40,93,0.475,0.007,8.6,1.00,66,13,0,0.0,,5.834,SURVIVED
v5only,-0.030,0,40,93,0.475,0.007,8.6,1.00,64,1,0,0.0,,5.834,SURVIVED
v5only,+0.045,0,15,197,0.415,0.529,257.7,1.01,163,51,46,111.3,9.960,5.834,FELL
v5only,-0.030,1,40,102,0.475,0.007,13.1,1.01,76,5,0,0.0,,5.834,SURVIVED
v5only,-0.045,0,13,113,0.439,0.540,51.7,1.00,150,20,0,0.0,8.875,5.834,FELL
