t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0500,-0.00080,0.00000,0.46222,1.00000,0.00000,-0.00188,-0.00000,0.00836,0.00000,0.30106,0.30051,0.00387,0.00005,2,0.03476,0,0.04900,0.01900,-0.000767,-0.000387,31.1149,-0.001708,-0.000362,32.0898,-0.000766,-0.000230,31.1176,-0.001707,-0.000132,32.0922,-0.00010,0.00012,-0.54832,1.10495,-0.55306,0.00004,0.00010,-0.00016,-0.54832,1.10495,-0.55306,0.00007,0.00002,-0.00012,0.00002,-0.00012,-0.00016,-0.00207,-0.04708,-1.37438,-0.00199,0.01099,0.00016,0.00599,-0.04703,-1.37448,-0.00197,0.00661,-0.00812,-0.00001,-0.00812,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00078,0.00000,0.46225,1.00000,0.00000,-0.00183,-0.00000,0.00836,0.00000,0.30109,0.30051,0.00376,0.00006,2,0.03477,0,0.04900,0.01900,-0.000075,-0.000425,31.1626,-0.000905,-0.000396,32.1432,-0.000074,-0.000277,31.1657,-0.000904,-0.000176,32.1460,-0.00010,0.00012,-0.54829,1.10460,-0.55284,0.00004,0.00010,-0.00017,-0.54829,1.10460,-0.55284,0.00010,-0.00001,-0.00009,-0.00001,-0.00009,-0.00015,-0.00173,-0.03849,-1.36247,0.01556,0.01224,0.00016,0.00615,-0.03844,-1.36258,0.01559,0.00780,-0.00715,-0.00000,-0.00715,-0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00076,0.00001,0.46228,1.00000,0.00000,-0.00177,-0.00000,0.00837,0.00000,0.30112,0.30051,0.00365,0.00007,2,0.03478,0,0.04900,0.01900,0.000502,-0.000463,31.2038,-0.000237,-0.000432,32.1897,0.000503,-0.000323,31.2072,-0.000236,-0.000219,32.1928,-0.00010,0.00011,-0.54827,1.10424,-0.55262,0.00004,0.00010,-0.00018,-0.54827,1.10425,-0.55262,0.00014,-0.00004,-0.00007,-0.00004,-0.00007,-0.00014,-0.00140,-0.03137,-1.35245,0.03008,0.01347,0.00015,0.00633,-0.03131,-1.35258,0.03011,0.00900,-0.00636,0.00000,-0.00636,0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00074,0.00001,0.46231,1.00000,0.00000,-0.00171,-0.00000,0.00837,0.00000,0.30114,0.30051,0.00354,0.00008,2,0.03479,0,0.04900,0.01900,0.000982,-0.000501,31.2392,0.000319,-0.000468,32.2298,0.000983,-0.000367,31.2430,0.000320,-0.000261,32.2334,-0.00010,0.00010,-0.54824,1.10389,-0.55239,0.00005,0.00010,-0.00019,-0.54824,1.10389,-0.55239,0.00017,-0.00007,-0.00006,-0.00007,-0.00006,-0.00013,-0.00109,-0.02544,-1.34399,0.04208,0.01469,0.00014,0.00651,-0.02538,-1.34414,0.04211,0.01019,-0.00569,-0.00000,-0.00569,-0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00072,0.00001,0.46234,1.00000,0.00000,-0.00165,-0.00000,0.00838,0.00001,0.30117,0.30051,0.00342,0.00009,2,0.03480,0,0.04900,0.01900,0.001382,-0.000540,31.2697,0.000783,-0.000505,32.2644,0.001384,-0.000411,31.2739,0.000784,-0.000303,32.2684,-0.00010,0.00009,-0.54822,1.10355,-0.55217,0.00006,0.00010,-0.00020,-0.54822,1.10355,-0.55217,0.00021,-0.00011,-0.00004,-0.00011,-0.00004,-0.00013,-0.00079,-0.02050,-1.33684,0.05199,0.01588,0.00014,0.00670,-0.02043,-1.33699,0.05203,0.01136,-0.00513,-0.00001,-0.00513,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,-0.00070,0.00001,0.46236,1.00000,0.00000,-0.00159,-0.00000,0.00839,0.00001,0.30119,0.30051,0.00330,0.00011,2,0.03480,0,0.04900,0.01900,0.001716,-0.000578,31.2960,0.001169,-0.000541,32.2941,0.001717,-0.000453,31.3005,0.001170,-0.000343,32.2985,-0.00010,0.00008,-0.54820,1.10321,-0.55194,0.00008,0.00010,-0.00022,-0.54820,1.10321,-0.55194,0.00024,-0.00015,-0.00002,-0.00015,-0.00002,-0.00012,-0.00051,-0.01639,-1.33077,0.06016,0.01705,0.00014,0.00689,-0.01631,-1.33094,0.06020,0.01251,-0.00466,-0.00001,-0.00466,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0800,-0.00067,0.00002,0.46238,1.00000,0.00000,-0.00153,-0.00000,0.00840,0.00001,0.30121,0.30051,0.00318,0.00012,2,0.03481,0,0.04900,0.01900,0.001994,-0.000615,31.3187,0.001491,-0.000577,32.3196,0.001995,-0.000494,31.3236,0.001492,-0.000383,32.3243,-0.00010,0.00006,-0.54819,1.10288,-0.55172,0.00010,0.00011,-0.00023,-0.54819,1.10288,-0.55172,0.00028,-0.00020,-0.00001,-0.00020,-0.00001,-0.00012,-0.00024,-0.01295,-1.32562,0.06689,0.01818,0.00013,0.00707,-0.01288,-1.32580,0.06693,0.01363,-0.00425,-0.00002,-0.00425,-0.00002,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0850,-0.00065,0.00002,0.46240,1.00000,0.00000,-0.00147,-0.00000,0.00841,0.00001,0.30123,0.30051,0.00306,0.00014,2,0.03481,0,0.04900,0.01900,0.002224,-0.000652,31.3384,0.001759,-0.000612,32.3415,0.002226,-0.000534,31.3436,0.001760,-0.000421,32.3466,-0.00010,0.00005,-0.54817,1.10256,-0.55151,0.00013,0.00011,-0.00025,-0.54818,1.10257,-0.55151,0.00031,-0.00024,-0.00000,-0.00024,-0.00000,-0.00011,0.00002,-0.01009,-1.32124,0.07241,0.01927,0.00013,0.00726,-0.01000,-1.32143,0.07246,0.01472,-0.00391,-0.00003,-0.00391,-0.00003,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0900,-0.00063,0.00003,0.46242,1.00000,0.00000,-0.00141,-0.00000,0.00842,0.00001,0.30124,0.30051,0.00293,0.00016,2,0.03481,0,0.04900,0.01900,0.002416,-0.000687,31.3555,0.001981,-0.000646,32.3603,0.002417,-0.000572,31.3610,0.001982,-0.000457,32.3658,-0.00010,0.00003,-0.54817,1.10226,-0.55130,0.00016,0.00011,-0.00027,-0.54817,1.10226,-0.55131,0.00035,-0.00029,0.00001,-0.00029,0.00001,-0.00011,0.00026,-0.00770,-1.31750,0.07694,0.02032,0.00013,0.00744,-0.00761,-1.31771,0.07698,0.01577,-0.00361,-0.00005,-0.00361,-0.00005,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0950,-0.00060,0.00003,0.46244,1.00000,0.00000,-0.00135,-0.00000,0.00843,0.00002,0.30126,0.30051,0.00281,0.00017,2,0.03482,0,0.04900,0.01900,0.002574,-0.000721,31.3704,0.002165,-0.000679,32.3765,0.002576,-0.000608,31.3762,0.002167,-0.000492,32.3823,-0.00010,0.00001,-0.54816,1.10196,-0.55111,0.00019,0.00011,-0.00029,-0.54817,1.10197,-0.55111,0.00039,-0.00034,0.00002,-0.00034,0.00002,-0.00011,0.00048,-0.00570,-1.31433,0.08062,0.02133,0.00013,0.00762,-0.00561,-1.31454,0.08067,0.01678,-0.00335,-0.00006,-0.00335,-0.00006,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1000,-0.00058,0.00004,0.46246,1.00000,0.00000,-0.00129,-0.00000,0.00843,0.00002,0.30127,0.30051,0.00270,0.00019,2,0.03482,0,0.04900,0.01900,0.002704,-0.000754,31.3834,0.002317,-0.000712,32.3905,0.002706,-0.000642,31.3896,0.002319,-0.000526,32.3966,-0.00010,-0.00002,-0.54816,1.10168,-0.55092,0.00023,0.00011,-0.00031,-0.54817,1.10170,-0.55093,0.00043,-0.00039,0.00002,-0.00039,0.00002,-0.00011,0.00070,-0.00404,-1.31162,0.08360,0.02230,0.00013,0.00779,-0.00394,-1.31184,0.08365,0.01775,-0.00312,-0.00007,-0.00313,-0.00007,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1050,-0.00056,0.00004,0.46248,1.00000,0.00000,-0.00123,-0.00000,0.00844,0.00002,0.30129,0.30051,0.00258,0.00021,2,0.03482,0,0.04900,0.01900,0.002811,-0.000785,31.3948,0.002442,-0.000742,32.4026,0.002813,-0.000675,31.4012,0.002444,-0.000558,32.4091,-0.00010,-0.00004,-0.54817,1.10142,-0.55074,0.00027,0.00011,-0.00034,-0.54817,1.10143,-0.55075,0.00048,-0.00045,0.00003,-0.00045,0.00003,-0.00010,0.00090,-0.00266,-1.30932,0.08600,0.02322,0.00013,0.00796,-0.00255,-1.30955,0.08605,0.01867,-0.00293,-0.00008,-0.00293,-0.00008,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1100,-0.00054,0.00005,0.46249,1.00000,0.00000,-0.00118,-0.00000,0.00845,0.00003,0.30130,0.30051,0.00246,0.00023,2,0.03482,0,0.04900,0.01900,0.002898,-0.000815,31.4049,0.002544,-0.000772,32.4132,0.002899,-0.000706,31.4116,0.002546,-0.000589,32.4199,-0.00010,-0.00007,-0.54817,1.10116,-0.55057,0.00031,0.00011,-0.00037,-0.54818,1.10118,-0.55058,0.00052,-0.00050,0.00003,-0.00051,0.00003,-0.00010,0.00109,-0.00151,-1.30735,0.08791,0.02409,0.00013,0.00811,-0.00140,-1.30760,0.08797,0.01954,-0.00276,-0.00010,-0.00276,-0.00009,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1150,-0.00051,0.00006,0.46250,1.00000,0.00000,-0.00112,-0.00000,0.00846,0.00003,0.30131,0.30051,0.00235,0.00025,2,0.03482,0,0.04900,0.01900,0.002968,-0.000843,31.4138,0.002627,-0.000800,32.4224,0.002969,-0.000735,31.4207,0.002629,-0.000617,32.4293,-0.00010,-0.00010,-0.54818,1.10092,-0.55041,0.00035,0.00011,-0.00040,-0.54819,1.10094,-0.55042,0.00057,-0.00056,0.00003,-0.00056,0.00003,-0.00010,0.00127,-0.00056,-1.30569,0.08942,0.02491,0.00013,0.00826,-0.00045,-1.30594,0.08947,0.02037,-0.00261,-0.00011,-0.00261,-0.00011,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1200,-0.00049,0.00006,0.46252,1.00000,0.00000,-0.00107,-0.00000,0.00847,0.00004,0.30132,0.30051,0.00224,0.00028,2,0.03482,0,0.04900,0.01900,0.003023,-0.000870,31.4217,0.002694,-0.000826,32.4304,0.003025,-0.000762,31.4288,0.002696,-0.000645,32.4377,-0.00010,-0.00014,-0.54819,1.10069,-0.55026,0.00040,0.00011,-0.00043,-0.54820,1.10071,-0.55027,0.00061,-0.00062,0.00003,-0.00062,0.00003,-0.00010,0.00143,0.00023,-1.30427,0.09058,0.02568,0.00013,0.00840,0.00034,-1.30454,0.09064,0.02115,-0.00247,-0.00012,-0.00248,-0.00012,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1250,-0.00047,0.00007,0.46253,1.00000,0.00000,-0.00101,-0.00000,0.00848,0.00005,0.30133,0.30051,0.00213,0.00030,2,0.03482,0,0.04900,0.01900,0.003067,-0.000895,31.4287,0.002747,-0.000851,32.4375,0.003069,-0.000787,31.4361,0.002749,-0.000670,32.4450,-0.00010,-0.00017,-0.54821,1.10047,-0.55012,0.00045,0.00011,-0.00047,-0.54822,1.10049,-0.55013,0.00066,-0.00068,0.00003,-0.00068,0.00003,-0.00010,0.00159,0.00088,-1.30308,0.09146,0.02640,0.00013,0.00853,0.00099,-1.30335,0.09152,0.02188,-0.00235,-0.00013,-0.00236,-0.00013,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1300,-0.00045,0.00008,0.46254,1.00000,0.00000,-0.00096,-0.00000,0.00849,0.00005,0.30134,0.30051,0.00203,0.00032,2,0.03482,0,0.04900,0.01900,0.003101,-0.000918,31.4349,0.002788,-0.000874,32.4437,0.003103,-0.000811,31.4425,0.002790,-0.000694,32.4515,-0.00010,-0.00021,-0.54822,1.10026,-0.54998,0.00050,0.00011,-0.00051,-0.54823,1.10028,-0.54999,0.00072,-0.00074,0.00003,-0.00074,0.00003,-0.00010,0.00173,0.00141,-1.30206,0.09211,0.02707,0.00013,0.00865,0.00152,-1.30234,0.09217,0.02256,-0.00225,-0.00014,-0.00225,-0.00014,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1350,-0.00044,0.00009,0.46255,1.00000,0.00000,-0.00091,-0.00000,0.00850,0.00006,0.30135,0.30051,0.00192,0.00035,2,0.03482,0,0.04900,0.01900,0.003126,-0.000939,31.4406,0.002820,-0.000895,32.4492,0.003128,-0.000833,31.4484,0.002822,-0.000716,32.4572,-0.00010,-0.00025,-0.54824,1.10006,-0.54986,0.00056,0.00011,-0.00055,-0.54826,1.10009,-0.54987,0.00077,-0.00080,0.00003,-0.00080,0.00003,-0.00010,0.00186,0.00184,-1.30121,0.09256,0.02769,0.00013,0.00876,0.00196,-1.30149,0.09262,0.02318,-0.00216,-0.00016,-0.00216,-0.00015,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1400,-0.00042,0.00010,0.46256,1.00000,0.00001,-0.00086,-0.00000,0.00851,0.00007,0.30136,0.30051,0.00182,0.00038,2,0.03482,0,0.04900,0.01900,0.003145,-0.000959,31.4456,0.002844,-0.000915,32.4542,0.003147,-0.000853,31.4536,0.002846,-0.000736,32.4624,-0.00010,-0.00030,-0.54826,1.09988,-0.54973,0.00061,0.00011,-0.00060,-0.54828,1.09990,-0.54975,0.00083,-0.00086,0.00003,-0.00086,0.00003,-0.00009,0.00198,0.00219,-1.30049,0.09285,0.02826,0.00013,0.00886,0.00231,-1.30078,0.09291,0.02376,-0.00208,-0.00017,-0.00208,-0.00016,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1450,-0.00040,0.00012,0.46257,1.00000,0.00001,-0.00081,-0.00000,0.00851,0.00007,0.30137,0.30051,0.00173,0.00040,2,0.03482,0,0.04900,0.01900,0.003157,-0.000976,31.4502,0.002861,-0.000933,32.4586,0.003159,-0.000871,31.4584,0.002863,-0.000754,32.4670,-0.00010,-0.00035,-0.54829,1.09970,-0.54962,0.00067,0.00011,-0.00064,-0.54830,1.09973,-0.54963,0.00089,-0.00091,0.00003,-0.00092,0.00003,-0.00009,0.00209,0.00247,-1.29988,0.09300,0.02878,0.00013,0.00895,0.00260,-1.30018,0.09307,0.02429,-0.00200,-0.00018,-0.00201,-0.00018,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
